T Eprom Mprom Cv Xs Ub M2prom
2.2 -227.499 118.567 153.263 182.734 0.641986 14460.2
2.21 -226.056 117.636 155.514 194.084 0.640235 14267.2
2.22 -224.436 116.628 158.368 205.248 0.638304 14057.7
2.23 -223 115.736 159.975 213.993 0.636673 13872
2.24 -221.38 114.675 162.134 226.046 0.634503 13656.7
2.25 -219.828 113.65 164.213 237.742 0.63235 13451.2
2.26 -218.19 112.517 166.521 250.725 0.629867 13226.7
2.27 -216.606 111.48 167.549 260.166 0.627724 13018.4
2.28 -215.002 110.35 169.545 272.812 0.625109 12799.2
2.29 -213.402 109.238 169.91 283.195 0.62263 12581.5
2.3 -211.775 108.138 171.12 292.77 0.620144 12367.2
2.31 -210.069 106.912 172.388 305.054 0.61711 12134.9
2.32 -208.396 105.725 173.155 315.514 0.614224 11909.8
2.33 -206.73 104.497 174.069 326.722 0.61105 11680.8
2.34 -205.137 103.334 174.026 336.693 0.608049 11465.8
2.35 -203.513 102.11 173.893 346.723 0.604734 11241.3
2.36 -201.796 100.812 174.143 356.238 0.601153 11003.7
2.37 -200.16 99.5927 173.938 364.923 0.597818 10783.6
2.38 -198.489 98.3099 173.698 374.359 0.593994 10555.8
2.39 -196.86 97.1023 172.856 381.071 0.590572 10339.6
2.4 -195.244 95.8031 172.494 389.743 0.586457 10113.6
2.41 -193.573 94.4907 171.564 396.946 0.58231 9885.13
2.42 -191.997 93.2467 170.538 403.317 0.578419 9670.97
2.43 -190.328 91.9271 169.344 409.883 0.574002 9446.61
2.44 -188.726 90.6456 168.04 414.972 0.569701 9229.16
2.45 -187.131 89.3444 166.392 420.548 0.565112 9012.76
2.46 -185.558 88.1501 165.291 423.67 0.560921 8812.67
2.47 -183.988 86.821 163.588 428.668 0.555931 8596.7
2.48 -182.435 85.5464 161.403 432.047 0.551319 8389.67
2.49 -180.852 84.2208 160.304 435.343 0.545942 8177.14
2.5 -179.36 83.0259 157.823 437.377 0.541326 7986.74
2.51 -177.855 81.7941 156.355 439.39 0.536143 7793.15
2.52 -176.385 80.5341 153.954 440.035 0.530953 7594.62
2.53 -174.939 79.3574 152.261 440.381 0.525947 7411.76
2.54 -173.477 78.1351 150.233 441.53 0.520359 7226.58
2.55 -172.022 76.9272 147.881 440.853 0.514958 7041.98
2.56 -170.624 75.7431 145.722 440.279 0.509359 6864.14
2.57 -169.148 74.5209 143.54 438.933 0.503559 6681.42
2.58 -167.93 73.4831 141.795 437.994 0.498248 6529.79
2.59 -166.414 72.1929 138.748 435.663 0.491809 6340.19
2.6 -165.093 71.0882 137.099 434.298 0.485842 6182.71
2.61 -163.826 70.0113 134.951 430.951 0.480122 6026.36
2.62 -162.51 68.9321 132.57 428.312 0.47428 5873.81
2.63 -161.258 67.863 130.409 424.952 0.468249 5723.01
2.64 -159.96 66.7406 127.973 421.779 0.461669 5567.8
2.65 -158.725 65.7485 125.972 417.757 0.455807 5429.93
2.66 -157.479 64.6883 123.589 412.786 0.449557 5282.59
2.67 -156.232 63.6333 121.649 409.069 0.442707 5141.41
2.68 -155.103 62.6647 119.543 405.28 0.436331 5013.01
2.69 -153.824 61.6313 117.332 400.39 0.429578 4875.47
2.7 -152.71 60.694 115.375 394.981 0.423349 4750.21
2.71 -151.582 59.7481 113.077 389.908 0.416913 4626.49
2.72 -150.505 58.8912 111.234 384.42 0.411117 4513.8
2.73 -149.306 57.8704 108.926 379.225 0.403611 4384.27
2.74 -148.203 56.9651 107.209 374.311 0.396669 4270.64
2.75 -147.137 56.0786 105.225 368.761 0.389727 4158.9
2.76 -146.117 55.2809 103.239 362.835 0.384048 4057.41
2.77 -145.06 54.4375 101.549 357.072 0.377144 3952.53
2.78 -144.077 53.6083 99.5622 351.606 0.370723 3851.32
2.79 -143.061 52.7848 97.8805 346.474 0.363067 3752.89
2.8 -142.097 52.0509 95.8992 340.038 0.35766 3661.4


