T Eprom Mprom Cv Xs Ub M2prom
1.61919 -492.57 250.457 73.5151 12.3632 0.666251 62748.5
1.62349 -492.488 250.41 72.1994 12.3193 0.666252 62725
1.62779 -491.804 250.224 75.0804 12.5729 0.666241 62632.3
1.63209 -492.079 250.289 74.4234 12.7562 0.666234 62665.4
1.63639 -491.397 250.089 75.2227 13.0894 0.666222 62565.8
1.64069 -490.923 249.928 77.4197 13.7984 0.666196 62486.8
1.64499 -490.697 249.863 77.2513 13.7969 0.666195 62454.3
1.64929 -490.562 249.832 77.3679 13.7151 0.666196 62438.5
1.65359 -490.054 249.675 76.2895 13.7089 0.666195 62360.4
1.65789 -489.953 249.629 79.2825 14.493 0.666168 62338.6
1.66219 -489.4 249.465 78.7713 14.4732 0.666165 62256.9
1.66649 -488.979 249.312 79.8376 15.07 0.666143 62181.6
1.67079 -488.732 249.243 80.9058 15.1346 0.66614 62147.3
1.67509 -488.029 249.034 80.4071 15.0739 0.666138 62043.4
1.67939 -488.062 249.031 85.3093 16.3173 0.666096 62043.6
1.68369 -487.68 248.897 84.6073 16.4733 0.66609 61977.6
1.68799 -487.405 248.823 84.8569 16.4588 0.666086 61940.5
1.69229 -486.848 248.608 87.2589 17.6454 0.666044 61836
1.69659 -486.69 248.581 88.0812 17.4956 0.666047 61822.2
1.70089 -486.337 248.48 87.0507 17.219 0.666053 61771.4
1.70519 -485.856 248.279 89.7751 18.9759 0.665993 61674.7
1.70949 -485.613 248.234 89.8044 18.3596 0.666009 61651.6
1.71379 -484.795 247.951 92.139 19.6688 0.665965 61513.5
1.71809 -484.421 247.838 92.1944 19.4547 0.665969 61456.9
1.72239 -484.159 247.734 91.7897 20.0823 0.665945 61406.6
1.72669 -483.908 247.663 92.0723 19.7776 0.665949 61370.9
1.73099 -483.35 247.485 94.5456 20.1281 0.665932 61283.8
1.73529 -483.02 247.394 93.3589 20.0259 0.665935 61238.3
1.73959 -482.187 247.118 97.7726 21.5129 0.66588 61104.9
1.74389 -482.1 247.088 96.0672 21.2846 0.665886 61089.4
1.74819 -481.595 246.895 96.5468 21.8798 0.665862 60995.6
1.75249 -481.168 246.758 100.07 22.9223 0.66582 60929.6
1.75679 -480.362 246.486 103.518 23.2042 0.665803 60796.2
1.76109 -480.448 246.497 101.792 23.6802 0.665786 60802.4
1.76539 -479.742 246.288 103.577 24.5503 0.665754 60701
1.76969 -479.864 246.263 103.752 24.9213 0.665739 60689.5
1.77399 -478.827 245.962 104.899 24.955 0.665728 60541.4
1.77829 -478.656 245.914 106.629 25.9989 0.665698 60520.1
1.78259 -478.274 245.761 107.673 26.5121 0.66567 60445.7
1.78689 -477.782 245.578 107.114 26.4674 0.665668 60356
1.79119 -477.133 245.431 107.555 26.698 0.665658 60284
1.79549 -476.708 245.195 112.618 29.2665 0.665562 60173
1.79979 -476.099 245.001 113.177 28.9901 0.665559 60077.5
1.80409 -476.12 245.008 110.994 29.4598 0.665546 60082
1.80839 -475.176 244.678 113.352 30.1505 0.665513 59922
1.81269 -474.638 244.494 115.723 31.2899 0.665467 59834.2
1.81699 -474.526 244.458 117.199 31.6209 0.665457 59817.4
1.82129 -473.569 244.119 115.337 30.8107 0.665465 59650.2
1.82559 -473.04 243.914 119.502 32.7859 0.665393 59553.9
1.82989 -473.145 243.97 118.718 32.1886 0.66541 59580.5
1.83419 -472.446 243.69 120.09 34.2204 0.665335 59447.8
1.83849 -472.057 243.51 120.644 35.6447 0.665285 59362.5
1.84279 -471.346 243.299 124.118 36.2742 0.665263 59261.4
1.84709 -470.771 243.102 121.116 34.7315 0.665287 59162.5
1.85139 -470.292 242.919 125.862 36.9945 0.665204 59078.2
1.85569 -469.723 242.725 122.918 36.6155 0.665212 58983.4
1.85999 -469.427 242.648 126.776 37.1323 0.665181 58947
1.86429 -468.823 242.329 128.26 39.4782 0.665088 58796.9
1.86859 -468.259 242.18 129.032 40.1185 0.665076 58726
1.87289 -467.182 241.711 132.283 42.3729 0.664968 58503.8
1.87719 -466.866 241.702 132.906 42.4012 0.664976 58499.3
1.88149 -465.752 241.177 139.053 45.467 0.664836 58251.8
1.88579 -465.603 241.156 137.664 44.7553 0.664853 58240.5
1.89009 -465.21 240.948 139.565 46.2208 0.66479 58143.3
1.89439 -464.49 240.739 142.089 47.222 0.664743 58044.7
1.89869 -463.602 240.344 142.641 49.7716 0.664646 57859.9
1.90299 -463.401 240.332 141.471 48.0093 0.6647 57850.8
1.90729 -462.342 239.876 146.659 53.4682 0.664512 57642.7
1.91159 -461.886 239.61 143.213 54.7961 0.664461 57517.9
1.91589 -461.274 239.535 146.085 52.0932 0.664509 57476.6
1.92019 -460.614 239.256 149.752 55.5976 0.664398 57350.1
1.92449 -460.207 239.02 150.967 56.6973 0.664313 57239.5
1.92879 -459.694 238.896 149.045 54.5676 0.664382 57176.7
1.93309 -458.544 238.423 153.821 58.777 0.664235 56959
1.93739 -458.268 238.202 155.92 62.2012 0.664085 56860.6
1.94169 -457.626 237.933 155.488 65.5127 0.663999 56739.4
1.94599 -457.007 237.723 159.395 64.8563 0.663959 56638.6
1.95029 -456.13 237.291 161.185 68.043 0.663824 56439.7
1.95459 -454.898 236.85 164.596 75.0178 0.663658 56244.6
1.95889 -455.03 236.873 160.802 71.5198 0.663725 56248.8
1.96319 -454.005 236.448 167.41 77.0301 0.663516 56058.7
1.96749 -453.479 236.144 171.261 81.3981 0.663365 55924.1
1.97179 -452.466 235.832 166.543 76.5685 0.663445 55767.7
1.97609 -451.904 235.634 171.311 77.1849 0.663396 55676.1
1.98039 -451.328 235.323 169.711 81.8553 0.663264 55539.2
1.98469 -451.032 235.166 174.064 87.3353 0.663124 55476.6
1.98899 -449.452 234.393 179.372 93.564 0.662781 55126.3
1.99329 -449.132 234.343 175.873 87.1197 0.662937 55090.5
1.99759 -448.17 233.924 179.783 91.2941 0.66276 54902.6
2.00189 -447.671 233.764 176.591 90.0286 0.662783 54826
2.00619 -446.503 233.096 186.244 101.676 0.662369 54537.8
2.01049 -446.151 232.992 187.258 103.142 0.66233 54492.6
2.01479 -445.292 232.615 184.536 99.176 0.662378 54309.6
2.01909 -444.805 232.349 187.22 108.469 0.662104 54204.9
2.02339 -443.249 231.81 189.538 107.783 0.662103 53953.9
2.02769 -442.808 231.409 190.411 109.699 0.661892 53772.4
2.03199 -441.86 231.127 197.881 112.415 0.661772 53647.9
2.03629 -441.183 230.75 200.43 125.687 0.661363 53501.6
2.04059 -439.581 229.96 200.768 128.754 0.661196 53144.3
2.04489 -439.386 229.89 202.419 124.403 0.661218 53104
2.04919 -438.505 229.356 206.172 139.293 0.660746 52889.8
2.05349 -437.633 228.976 208.377 145.513 0.66063 52728.6
2.05779 -435.835 228.246 214.369 137.713 0.660506 52379.4
2.06209 -436.046 228.292 209.91 141.898 0.660442 52410
2.06639 -434.904 227.659 212.419 153.928 0.659975 52146.6
2.07069 -433.467 226.868 216.381 167.464 0.6596 51815.8
