T Eprom Mprom Cv Xs Ub M2prom
1.40252 -285.299 143.271 15.1268 1.72908 0.666514 20528.9
1.40825 -285.34 143.279 14.8912 1.72809 0.666514 20531.2
1.41399 -285.232 143.252 15.3148 1.7689 0.666509 20523.7
1.41972 -285.09 143.208 16.1829 1.92772 0.666495 20511.2
1.42545 -284.858 143.149 17.0262 1.97962 0.666489 20494.4
1.43119 -284.777 143.125 17.7325 2.12445 0.666476 20487.7
1.43692 -284.681 143.098 18.0605 2.19419 0.666469 20480.1
1.44265 -284.449 143.037 18.4506 2.18668 0.666467 20462.8
1.44839 -284.407 143.025 18.7428 2.23488 0.666462 20459.4
1.45412 -284.189 142.954 19.9681 2.51771 0.666436 20439.4
1.45985 -284.12 142.94 20.5041 2.53807 0.666433 20435.5
1.46559 -283.927 142.883 21.3605 2.72322 0.666416 20419.5
1.47132 -283.728 142.83 22.1996 2.82135 0.666405 20404.6
1.47705 -283.524 142.761 23.2666 3.08688 0.66638 20385.1
1.48279 -283.401 142.73 23.9935 3.13472 0.666374 20376.6
1.48852 -283.184 142.669 24.2767 3.2076 0.666365 20359.3
1.49425 -282.945 142.608 24.9604 3.28883 0.666356 20342
1.49999 -282.83 142.575 25.5688 3.32152 0.666351 20332.5
1.50572 -282.634 142.517 25.6622 3.43698 0.666339 20316.2
1.51145 -282.534 142.487 26.3688 3.60754 0.666322 20307.9
1.51719 -282.362 142.44 27.4229 3.73293 0.666308 20294.7
1.52292 -282.251 142.414 26.6818 3.52783 0.666324 20287.1
1.52865 -281.888 142.304 28.4769 3.93433 0.666285 20256.3
1.53439 -281.768 142.254 29.1876 4.25257 0.666255 20242.7
1.54012 -281.608 142.224 30.3559 4.30567 0.666248 20234.4
1.54585 -281.302 142.12 30.0181 4.38651 0.666236 20204.8
1.55159 -281.086 142.074 31.1503 4.46729 0.666226 20191.8
1.55732 -280.678 141.949 32.4641 4.71801 0.666198 20157
1.56305 -280.529 141.912 33.1111 4.74552 0.666193 20146.5
1.56879 -280.375 141.849 34.3921 5.25153 0.666145 20129.5
1.57452 -280.388 141.857 33.9644 5.19397 0.66615 20131.6
1.58025 -280.041 141.759 34.609 5.23658 0.66614 20103.9
1.58599 -279.668 141.629 36.3988 5.77109 0.666084 20067.8
1.59172 -279.332 141.529 36.9985 5.99851 0.66606 20040.1
1.59745 -279.106 141.476 36.4285 5.67531 0.666085 20024.6
1.60319 -278.876 141.4 38.5379 6.31243 0.666023 20004.1
1.60892 -278.674 141.347 39.968 6.41367 0.666007 19989.2
1.61465 -278.641 141.334 39.2094 6.37127 0.666009 19985.7
1.62039 -278.322 141.223 40.4631 6.74059 0.665968 19954.8
1.62612 -277.97 141.143 39.3301 6.5394 0.665986 19932.1
1.63185 -277.65 141.037 41.2305 6.95617 0.665941 19902.7
1.63759 -277.379 140.95 42.8022 7.2604 0.665904 19878.8
1.64332 -277.213 140.898 42.9664 7.50532 0.665879 19864.6
1.64905 -276.873 140.792 44.6494 7.77073 0.665846 19835.2
1.65479 -276.674 140.733 44.1609 7.75594 0.665843 19818.7
1.66052 -276.189 140.574 44.4945 8.07793 0.665803 19774.4
1.66625 -276.151 140.559 45.3847 8.46099 0.665767 19770.9
1.67199 -275.838 140.451 45.9142 8.59563 0.665743 19740.7
1.67772 -275.406 140.329 47.2688 8.82716 0.665715 19707
1.68345 -275.204 140.263 48.205 9.20219 0.665674 19689.1
1.68919 -274.85 140.16 48.2995 9.32683 0.665656 19660.6
1.69492 -274.372 140.027 48.7914 9.18609 0.665659 19623.1
1.70065 -274.353 139.991 49.5687 9.94202 0.665581 19614.4
1.70639 -273.732 139.791 52.0435 10.5067 0.665512 19559.3
1.71212 -273.788 139.8 51.3205 10.3165 0.665527 19561.6
1.71785 -273.096 139.578 52.4127 10.9573 0.66546 19501
1.72359 -273.038 139.556 52.2757 10.7128 0.665467 19494.3
1.72932 -272.84 139.502 52.2824 11.3566 0.665416 19480.4
1.73505 -272.541 139.432 53.4983 11.0372 0.665431 19460.4
1.74079 -272.06 139.217 56.2097 12.6541 0.665256 19403.5
1.74652 -271.572 139.088 56.1148 12.5353 0.66526 19367.3
1.75225 -271.406 139.015 56.7839 12.9916 0.665207 19347.9
1.75799 -270.997 138.876 59.9349 13.5913 0.665126 19310.3
1.76372 -270.907 138.842 58.1497 13.4596 0.665138 19300.8
1.76945 -270.211 138.61 59.7124 13.8426 0.665075 19237.3
1.77519 -269.716 138.47 61.5559 14.5203 0.665003 19199.6
1.78092 -269.497 138.369 61.2118 15.0475 0.664942 19172.7
1.78665 -269.403 138.344 61.8066 14.9797 0.664936 19165.9
1.79239 -268.884 138.181 61.7276 15.2168 0.6649 19121.3
1.79812 -268.618 138.101 61.9007 15.3728 0.664881 19099.5
1.80385 -268.056 137.896 64.5358 16.0339 0.664777 19044.3
1.80959 -267.442 137.67 66.1964 17.3243 0.664637 18984.5
1.81532 -267.56 137.706 65.9115 17.2477 0.664648 18994.1
1.82105 -267.024 137.49 68.8479 19.6416 0.664431 18939.2
1.82679 -266.799 137.422 68.1757 18.3106 0.664495 18918.4
1.83252 -266.153 137.227 68.8295 19.1709 0.664405 18866.3
1.83825 -265.712 137.042 69.4997 19.9032 0.664313 18817.2
