T Eprom Mprom Cv Xs Ub M2prom
2.2 -159.01 83.2217 100.443 100.309 0.639877 7146.53
2.21 -158.048 82.6651 101.976 104.872 0.638296 7065.28
2.22 -157.089 82.1107 103.017 109.1 0.636744 6984.36
2.23 -156.039 81.51 104.277 113.812 0.635047 6897.68
2.24 -155.081 80.9306 105.403 118.553 0.633296 6815.32
2.25 -154.024 80.289 106.661 123.903 0.631321 6725.11
2.26 -152.971 79.6519 107.488 128.388 0.629378 6634.58
2.27 -152.028 79.0775 108.625 132.994 0.627517 6555.14
2.28 -150.912 78.3549 109.678 139.008 0.625077 6456.42
2.29 -149.853 77.6964 110.443 143.642 0.622928 6365.66
2.3 -148.841 77.0707 110.933 147.806 0.620894 6279.84
2.31 -147.718 76.3363 111.851 153.545 0.618259 6181.92
2.32 -146.684 75.6734 111.859 157.73 0.615974 6092.4
2.33 -145.599 74.9652 112.372 162.356 0.613406 5998.08
2.34 -144.537 74.2732 112.772 166.531 0.610869 5906.19
2.35 -143.527 73.5932 112.858 170.676 0.608314 5817.05
2.36 -142.427 72.8677 113.148 175.012 0.605501 5722.73
2.37 -141.352 72.1138 113.151 179.738 0.602486 5626.38
2.38 -140.277 71.3956 113.502 183.447 0.599527 5533.94
2.39 -139.207 70.6546 113.112 187.302 0.596536 5439.72
2.4 -138.158 69.9489 112.735 190.344 0.593636 5349.68
2.41 -137.08 69.2017 112.511 193.697 0.590458 5255.68
2.42 -135.981 68.4215 112.28 197.499 0.586917 5159.44
2.43 -134.98 67.7264 111.455 200.049 0.583985 5072.98
2.44 -133.933 66.9848 111.002 202.98 0.58058 4982.23
2.45 -132.872 66.2332 110.369 205.975 0.577056 4891.48
2.46 -131.861 65.5 109.666 208.369 0.573533 4802.83
2.47 -130.795 64.7527 108.737 210.177 0.569999 4712.05
2.48 -129.796 64.0061 108.242 212.69 0.566122 4624.25
2.49 -128.728 63.2461 107.376 214.671 0.562295 4534.6
2.5 -127.729 62.4893 106.448 216.503 0.558344 4446.17
2.51 -126.725 61.7588 105.459 217.92 0.554399 4361.13
2.52 -125.695 61.0258 104.43 218.996 0.550564 4276.02
2.53 -124.736 60.3075 103.382 219.971 0.546633 4193.52
2.54 -123.785 59.6039 102.162 221.09 0.542633 4114.2
2.55 -122.825 58.8851 101.135 221.695 0.538448 4032.78
2.56 -121.835 58.1763 100.075 221.831 0.534378 3952.37
2.57 -120.914 57.4692 98.7139 222.39 0.530092 3874.25
2.58 -119.964 56.7184 97.6554 223.332 0.525298 3793.18
2.59 -119.06 56.0805 96.5344 222.959 0.521223 3722.48
2.6 -118.089 55.3554 95.1959 222.524 0.516773 3642.78
2.61 -117.204 54.6612 94.3252 223.176 0.511738 3570.34
2.62 -116.317 54.0115 92.7006 221.987 0.507865 3498.84
2.63 -115.42 53.3129 91.3797 221.183 0.502957 3423.98
2.64 -114.541 52.6551 90.3478 220.647 0.498194 3355.06
2.65 -113.677 52.0168 88.7391 219.671 0.493948 3287.88
2.66 -112.872 51.3803 87.9869 219.419 0.488893 3223.59
2.67 -111.971 50.7052 86.4163 217.809 0.484038 3152.56
2.68 -111.137 50.0942 85.1547 216.538 0.479397 3089.75
2.69 -110.332 49.4685 83.9494 215.558 0.474605 3026.99
2.7 -109.553 48.8931 82.9614 214.149 0.469843 2968.74
2.71 -108.713 48.2553 81.3752 212.1 0.464895 2903.37
2.72 -107.916 47.6147 80.2161 211.235 0.459302 2841.72
2.73 -107.186 47.0823 78.927 209.246 0.455155 2787.98
2.74 -106.38 46.4449 77.7836 207.728 0.449454 2726.31
2.75 -105.633 45.9088 76.5914 205.844 0.444888 2673.69
2.76 -104.927 45.3723 75.2181 203.818 0.440198 2621.19
2.77 -104.122 44.7659 74.2408 201.901 0.434486 2563.25
2.78 -103.353 44.1514 72.7637 199.833 0.428858 2504.88
2.79 -102.66 43.6526 71.7 197.767 0.424281 2457.32
2.8 -102.011 43.1761 70.7619 195.817 0.419391 2412.47

