T Eprom Mprom Cv Xs Ub M2prom
1.83585 -1062.09 547.94 276.049 78.8033 0.666041 300383
1.83872 -1061.27 547.715 277.174 76.6802 0.666053 300133
1.84159 -1060.69 547.467 275.394 79.7768 0.66603 299867
1.84445 -1059.73 547.203 277.969 80.0574 0.666025 299579
1.84732 -1058.39 546.587 279.046 84.2401 0.665993 298913
1.85019 -1057.71 546.347 282.424 84.3149 0.665989 298651
1.85305 -1056.9 546.201 279.71 80.79 0.666012 298485
1.85592 -1056.54 545.848 289.023 87.9982 0.665956 298113
1.85879 -1055.48 545.555 286.872 87.5099 0.665957 297793
1.86165 -1054.33 545.055 301.411 95.2321 0.665896 297262
1.86452 -1053.5 544.763 290.099 90.646 0.665928 296936
1.86739 -1052.91 544.622 295.056 90.0241 0.66593 296781
1.87025 -1052.12 544.286 301.77 96.4936 0.665881 296428
1.87312 -1051.12 543.902 302.414 95.431 0.665882 296009
1.87599 -1049.85 543.487 306.81 99.2922 0.665851 295565
1.87885 -1049.54 543.294 312.166 99.5978 0.665845 295356
1.88172 -1048.36 542.795 306.428 102.958 0.665818 294820
1.88459 -1047.79 542.652 317.236 103.979 0.665806 294667
1.88745 -1046.78 542.233 311.501 107.528 0.665781 294219
1.89032 -1045.93 541.84 307.061 104.538 0.665797 293788
1.89319 -1044.53 541.347 318.263 110.947 0.665746 293267
1.89605 -1043.85 541.172 320.815 106.998 0.665769 293070
1.89892 -1043.71 541.213 309.656 105.791 0.665781 293112
1.90179 -1042.55 540.603 325.245 113.804 0.66571 292468
1.90465 -1041.56 540.173 324.063 117.285 0.665683 292011
1.90752 -1040.77 539.929 321.857 116.065 0.665691 291745
1.91039 -1039.57 539.368 324.585 118.696 0.665662 291144
1.91325 -1038.74 539.131 335.425 120.05 0.665645 290892
1.91612 -1037.57 538.787 335.893 119.789 0.665648 290521
1.91899 -1035.66 537.913 342.637 129.09 0.665567 289599
1.92185 -1035.06 537.613 336.008 127.752 0.665575 289273
1.92472 -1034.95 537.539 340.903 130.157 0.665552 289199
1.92759 -1034 537.202 344.307 129.706 0.665551 288836
1.93045 -1032.41 536.527 348.2 137.24 0.665486 288126
1.93332 -1031.62 536.284 349.22 136.652 0.665492 287865
1.93619 -1030.28 535.579 358.005 143.576 0.665429 287123
1.93905 -1029.1 535.177 357.828 145.112 0.665412 286696
1.94192 -1028.91 535.193 353.101 139.654 0.665452 286703
1.94479 -1027.53 534.708 365.008 143.587 0.665414 286192
1.94765 -1026.39 534.219 363.118 147.995 0.665374 285678
1.95052 -1025.76 533.88 366.874 150.671 0.665347 285322
1.95339 -1024.7 533.384 368.73 154.259 0.665312 284800
1.95625 -1022.88 532.662 376.82 156.638 0.665285 284035
1.95912 -1022.82 532.532 365.15 162.421 0.665243 283909
1.96199 -1021.34 531.908 377.72 165.652 0.665201 283251
1.96485 -1019.84 531.314 386.856 174.921 0.665129 282639
1.96772 -1019.71 531.397 374.207 163.425 0.665214 282705
1.97059 -1018.64 530.78 387.638 178.331 0.665093 282079
1.97345 -1016.85 530.016 380.362 184.468 0.665045 281281
1.97632 -1015.56 529.702 398.642 182.112 0.665041 280944
1.97919 -1014.64 528.989 392.243 187.992 0.664988 280202
1.98205 -1013.01 528.107 390.246 197.235 0.664909 279288
1.98492 -1012.3 528.041 400.102 188.478 0.664961 279202
1.98779 -1011.44 527.779 387.094 193.964 0.664924 278936
1.99065 -1009.87 526.968 406.417 203.783 0.66482 278101
1.99352 -1010.05 527.201 397.872 192.747 0.66491 278325
1.99639 -1007.77 526.069 405.236 201.928 0.66482 277152
1.99925 -1006.72 525.542 409.067 208.905 0.664753 276612
2.00212 -1004.89 524.774 416.847 210.785 0.664724 275810
2.00499 -1004.11 524.503 423.129 220.75 0.66466 275546
2.00785 -1002.19 523.445 429.113 236.528 0.664521 274469
2.01072 -1001.76 523.508 430.401 234.515 0.66452 274532
2.01359 -1000.28 522.69 431.667 239.802 0.664468 273687
2.01645 -998.932 521.9 422.091 236.134 0.664468 272856
2.01932 -998.589 521.871 437.731 253.743 0.66435 272862
2.02219 -998.137 521.756 427.085 246.037 0.6644 272727
2.02505 -995.191 520.34 439.041 252.254 0.66431 271265
2.02792 -994.093 519.542 452.021 274.212 0.664134 270480
2.03079 -993.828 519.403 438.508 274.972 0.664122 270337
2.03365 -991.718 518.533 444.737 279.737 0.664068 269445
2.03652 -990.953 518.139 460.407 292.709 0.663945 269065
2.03939 -989.071 517.227 465.716 303.302 0.663841 268142
2.04225 -988.374 516.885 455.976 299.056 0.663912 267781
2.04512 -987.376 516.408 463.009 308.57 0.663828 267308
2.04799 -985.231 515.711 467.84 291.919 0.663873 266556
2.05085 -984.588 515.263 460.592 298.148 0.663813 266107
2.05372 -983.456 514.704 472.865 320.597 0.66364 265579
2.05659 -981.481 513.445 481.716 356.23 0.663405 264358
2.05945 -979.678 512.762 484.257 339.053 0.663421 263623
2.06232 -977.922 511.703 493.919 368.476 0.663198 262600
2.06519 -977.272 511.4 489.629 376.817 0.663206 262308
2.06805 -974.99 510.312 487.802 364.396 0.663203 261172
2.07092 -975.238 510.314 494.887 378.796 0.663056 261205
2.07379 -973.651 509.69 491.795 361.734 0.66315 260534
2.07665 -971.817 508.507 501.98 403.445 0.662878 259417
2.07952 -969.922 507.779 503.775 405.619 0.662774 258683
2.08239 -968.009 506.674 523.013 426.896 0.662559 257608
2.08525 -967.244 506.035 514.062 450.223 0.66238 257011
2.08812 -965.589 505.645 523.15 442.033 0.662442 256600
2.09099 -964.884 505.055 523.996 450.526 0.662361 256023
2.09385 -962.124 503.263 523.412 494.314 0.661979 254308
2.09672 -960.775 502.831 527.732 462.176 0.662156 253808
2.09959 -959.741 502.202 538.577 481.837 0.661985 253219
2.10245 -957.89 500.973 544.389 501.025 0.661721 252027
2.10532 -956.322 500.459 529.616 499.659 0.661866 251512
2.10819 -954.799 499.283 542.323 546.558 0.661414 250436
2.11105 -952.89 498.208 557.097 565.141 0.661248 249404
2.11392 -951.789 497.466 546.539 564.042 0.661187 248665
2.11679 -950.07 496.451 572.248 612.127 0.660863 247760
2.11965 -948.452 495.505 573.669 646.683 0.660549 246896
2.12252 -948.03 495.336 573.8 615.898 0.660677 246665
2.12539 -945.335 493.244 590.98 706.662 0.659994 244791
2.12825 -943.078 492.663 566.014 686.766 0.660182 244179
2.13112 -942.052 491.429 601.214 745.214 0.65964 243091
2.13399 -940.562 490.597 593.182 743.826 0.659621 242273
2.13685 -937.384 489.118 606.956 756.244 0.659383 240852
2.13972 -937.421 488.611 608.881 803.784 0.659038 240461
2.14259 -934.32 486.559 613.278 832.698 0.658663 238524
2.14545 -931.969 485.4 611.203 832.073 0.658538 237398
2.14832 -931.88 485.333 601.992 815.694 0.658677 237301
2.15119 -930.125 484.201 632.217 872.546 0.658179 236327
2.15405 -927.942 482.883 627.845 897.482 0.657945 235109
2.15692 -925.24 480.309 648.023 1029.15 0.656918 232916
2.15979 -924.171 480.143 648.105 956.192 0.65724 232602
2.16265 -922.268 478.944 644.146 993.705 0.657008 231536
2.16552 -920.51 477.214 676.061 1116.87 0.656017 230152
2.16839 -918.219 476.439 655.444 1032.26 0.656501 229232
2.17125 -917.066 475.079 676.483 1195.1 0.655477 228295
2.17412 -915.393 474.04 674.136 1163.78 0.655378 227244
2.17699 -914.269 472.815 670.384 1193.42 0.655017 226152
2.17985 -909.941 470.195 688.482 1289.16 0.654313 223894
2.18272 -909.154 469.399 685.461 1241.2 0.654221 223044
2.18559 -908.089 468.836 683.894 1336.13 0.653874 222727
2.18845 -904.595 465.529 706.75 1436.42 0.652709 219861
2.19132 -903.828 466.008 713.268 1423.9 0.652991 220283
2.19419 -901.678 464.002 704.44 1443.51 0.652527 218465
2.19705 -900.472 462.908 713.946 1534.91 0.651697 217656
2.19992 -895.908 459.715 719.33 1525.55 0.651153 214694
2.20279 -894.635 459.131 733.91 1593.18 0.650931 214311
2.20565 -891.436 455.821 749.913 1718.28 0.649379 211563
2.20852 -889.876 454.241 750.213 1818.29 0.648626 210350
2.21139 -887.908 452.537 756.341 1908.97 0.647649 209011
2.21425 -886.175 452.598 766.462 1772.34 0.648645 208770
2.21712 -887.161 452.834 746.493 1830.38 0.648556 209117
2.21999 -881.747 448.081 766.635 1986.59 0.646377 205186
2.22285 -880.053 446.318 766.348 2069.6 0.645723 203800
2.22572 -876.413 443.146 775.394 2233.02 0.644202 201349
2.22859 -875.348 441.791 785.417 2264.37 0.64353 200226
2.23145 -872.14 439.539 793.463 2298.85 0.643004 198324
2.23432 -870.933 440.036 781.307 2145.13 0.643965 198425
2.23719 -868.54 435.984 794.141 2452.95 0.641212 195570
2.24005 -867.641 436.101 800.56 2368.02 0.641531 195489
2.24292 -864.973 433.559 803.929 2538.38 0.640461 193667
2.24579 -862.917 430.921 808.823 2656.87 0.6389 191660
2.24865 -861.227 429.732 802.655 2621.48 0.638555 190564
2.25152 -858.598 427.882 820.607 2647.74 0.638028 189045
2.25439 -855.324 424.527 838.48 2795.08 0.63607 186524
2.25725 -851.688 420.367 837.301 2967.99 0.633825 183408
2.26012 -849.973 419.803 847.537 2927.5 0.633854 182851
2.26299 -848.85 417.798 835.898 3048.63 0.63235 181454
2.26585 -845.005 414.619 837.781 3082.45 0.631484 178893
2.26872 -842.244 412.525 844.173 3161.37 0.630396 177349
2.27159 -840.369 410.09 840.252 3295.84 0.628901 175660
2.27445 -839.29 408.36 861.344 3377.9 0.627472 174440
2.27732 -837.225 406.03 835.003 3465.36 0.62658 172752
2.28019 -834.211 403.564 840.265 3522.84 0.62508 170897
2.28305 -830.938 400.625 848.32 3597.5 0.623326 168714
2.28592 -828.798 399.281 849.257 3495.5 0.623953 167416
2.28879 -827.094 395.761 868.121 3785.74 0.620087 165291
2.29165 -824.726 393.221 836.313 3881.97 0.619174 163519
2.29452 -822.789 391.484 859.639 3963.1 0.617736 162353
2.29739 -819.34 388.999 866.04 3914.85 0.61683 160314
2.30025 -817.195 385.643 860.163 4177.33 0.614507 158330
2.30312 -815.08 383.975 873.852 4081.53 0.613465 156837
2.30599 -811.586 380.702 868.36 4160.86 0.611337 154529
2.30885 -810.039 377.804 851.222 4324.04 0.609418 152720
2.31172 -807.913 375.516 877.803 4420.16 0.607824 151230
2.31459 -804.545 371.36 860.449 4427.58 0.605343 148157
2.31745 -803.582 370.056 865.398 4474.61 0.603896 147311
2.32032 -800.254 367.043 868.448 4695.12 0.601751 145615
2.32319 -798.494 365.378 868.571 4558.15 0.601544 144090
