T Eprom Mprom Cv Xs Ub M2prom
0.969185 -127.996 63.999 0.0340502 0.00206256 0.666666 4095.87
0.977785 -127.998 63.9994 0.0200763 0.0012269 0.666666 4095.92
0.986385 -127.996 63.9986 0.0608256 0.00770291 0.666664 4095.83
0.994985 -127.998 63.9994 0.0193882 0.00120569 0.666666 4095.92
1.00359 -127.992 63.9976 0.0857202 0.00876282 0.666664 4095.7
1.01219 -127.996 63.999 0.0437122 0.0027653 0.666666 4095.87
1.02079 -127.99 63.9974 0.0858998 0.00743863 0.666664 4095.67
1.02939 -127.988 63.9968 0.110082 0.00776168 0.666664 4095.6
1.03799 -127.987 63.9966 0.103801 0.00808146 0.666664 4095.57
1.04659 -127.988 63.9968 0.0948072 0.00686973 0.666664 4095.6
1.05519 -127.99 63.9974 0.0746278 0.00492164 0.666665 4095.67
1.06379 -127.983 63.9958 0.129827 0.00863178 0.666664 4095.47
1.07239 -127.978 63.994 0.179056 0.0171244 0.666661 4095.25
1.08099 -127.989 63.9972 0.077947 0.00591327 0.666665 4095.65
1.08959 -127.972 63.9928 0.217669 0.0161054 0.666661 4095.1
1.09819 -127.973 63.9928 0.199734 0.0174362 0.666661 4095.1
1.10679 -127.974 63.9934 0.195388 0.0147783 0.666662 4095.17
1.11539 -127.97 63.992 0.215358 0.0193081 0.66666 4095
1.12399 -127.976 63.9938 0.161654 0.0131332 0.666662 4095.22
1.13259 -127.969 63.992 0.25995 0.0218403 0.666659 4095
1.14119 -127.959 63.9894 0.315698 0.02619 0.666658 4094.67
1.14979 -127.954 63.9882 0.314283 0.0252749 0.666658 4094.52
1.15839 -127.957 63.9884 0.314615 0.030271 0.666656 4094.55
1.16699 -127.947 63.9858 0.379754 0.0330753 0.666655 4094.22
1.17559 -127.936 63.9836 0.398735 0.0310748 0.666655 4093.94
1.18419 -127.956 63.9882 0.2827 0.027243 0.666657 4094.52
1.19279 -127.924 63.9798 0.550322 0.0482836 0.666649 4093.47
1.20139 -127.922 63.9792 0.534497 0.0489163 0.666649 4093.4
1.20999 -127.908 63.9764 0.579985 0.0478047 0.666649 4093.04
1.21859 -127.898 63.9738 0.659952 0.0542544 0.666646 4092.71
1.22719 -127.899 63.9738 0.658333 0.0590893 0.666644 4092.72
1.23579 -127.904 63.9748 0.608911 0.0538645 0.666646 4092.84
1.24439 -127.862 63.9636 0.858741 0.0786533 0.666636 4091.44
1.25299 -127.855 63.9622 0.990411 0.0879269 0.666633 4091.27
1.26159 -127.858 63.9622 0.911183 0.0873276 0.666633 4091.27
1.27019 -127.83 63.9544 1.0471 0.104804 0.666626 4090.3
1.27879 -127.823 63.9528 1.06391 0.10586 0.666625 4090.1
1.28739 -127.784 63.9426 1.34743 0.132598 0.666614 4088.83
1.29599 -127.792 63.9446 1.27467 0.126954 0.666616 4089.08
1.30459 -127.758 63.9354 1.49784 0.157772 0.666605 4087.94
1.31319 -127.766 63.9388 1.33205 0.125081 0.666616 4088.33
1.32179 -127.716 63.9242 1.56851 0.161187 0.666601 4086.52
1.33039 -127.718 63.9252 1.61131 0.164167 0.666599 4086.65
