T Eprom Mprom Cv Xs Ub M2prom
2.2 -102.986 54.1369 60.238 46.9434 0.637686 3034.07
2.21 -102.423 53.8423 60.6562 48.4223 0.636388 3006.01
2.22 -101.84 53.5359 61.3104 50.1542 0.634966 2977.44
2.23 -101.261 53.2326 61.8806 51.805 0.633546 2949.24
2.24 -100.629 52.8981 62.5006 53.6924 0.631941 2918.48
2.25 -100.07 52.5966 62.9333 55.1924 0.630479 2890.59
2.26 -99.4107 52.2325 63.5791 57.3484 0.628624 2857.84
2.27 -98.8372 51.9205 64.0226 58.865 0.627059 2829.36
2.28 -98.2171 51.5871 64.3264 60.3786 0.62541 2798.9
2.29 -97.5898 51.2367 64.753 62.3201 0.623568 2767.91
2.3 -96.9742 50.8861 65.0757 64.0979 0.621686 2736.83
2.31 -96.3479 50.5315 65.5878 65.8315 0.619718 2705.5
2.32 -95.705 50.1755 65.6834 67.3568 0.617849 2673.85
2.33 -95.0978 49.8191 65.9913 69.179 0.615766 2643.13
2.34 -94.4502 49.4454 66.1714 70.7035 0.613686 2610.29
2.35 -93.8705 49.1175 66.2672 72.0819 0.611816 2581.92
2.36 -93.19 48.7126 66.4293 73.9587 0.609433 2547.46
2.37 -92.5694 48.3413 66.5948 75.5251 0.607128 2515.87
2.38 -91.9822 48.008 66.545 76.7122 0.605194 2487.34
2.39 -91.2976 47.59 66.6262 78.3666 0.602569 2452.1
2.4 -90.6858 47.2244 66.4905 79.702 0.600324 2421.43
2.41 -90.0557 46.8438 66.5643 81.051 0.59779 2389.68
2.42 -89.4905 46.4973 66.4008 82.1834 0.595559 2360.88
2.43 -88.8222 46.0887 66.3108 83.6298 0.592798 2327.39
2.44 -88.2046 45.7186 65.9925 84.6348 0.590429 2296.7
2.45 -87.5944 45.3562 65.7924 85.5668 0.588013 2266.83
2.46 -86.9551 44.9445 65.7276 87.0034 0.584983 2234.04
2.47 -86.3543 44.5933 65.3849 87.6307 0.582656 2205.01
2.48 -85.8011 44.2415 65.0054 88.5259 0.5801 2176.85
2.49 -85.1624 43.8223 64.7246 89.5634 0.576975 2143.4
2.5 -84.5196 43.4171 64.2769 90.5966 0.57409 2111.53
2.51 -83.9433 43.0714 63.9503 91.0402 0.571533 2083.65
2.52 -83.3519 42.6802 63.5204 91.9928 0.56841 2053.42
2.53 -82.7809 42.3235 63.1568 92.5391 0.565711 2025.41
2.54 -82.1063 41.8939 62.7358 93.3797 0.562252 1992.28
2.55 -81.5296 41.523 62.2542 93.9247 0.559269 1963.66
2.56 -80.9465 41.1447 61.7901 94.4745 0.556133 1934.74
2.57 -80.4377 40.813 61.1589 94.7217 0.553421 1909.14
2.58 -79.805 40.4182 60.781 95.0999 0.550054 1878.98
2.59 -79.2222 40.0334 60.1762 95.5228 0.546823 1850.08
2.6 -78.7009 39.6939 59.6534 95.7715 0.543835 1824.61
2.61 -78.1494 39.3211 59.0816 96.215 0.540412 1797.27
2.62 -77.5761 38.9585 58.6222 96.327 0.537138 1770.14
2.63 -77.0372 38.5927 57.9855 96.5389 0.533743 1743.29
2.64 -76.4972 38.2588 57.304 96.2746 0.530854 1717.9
2.65 -75.9225 37.8968 56.7505 96.2999 0.527401 1691.36
2.66 -75.3945 37.5094 56.1014 96.584 0.523523 1663.87
2.67 -74.8638 37.1658 55.548 96.587 0.520123 1639.18
2.68 -74.3895 36.8434 54.9081 96.5151 0.516905 1616.09
2.69 -73.8902 36.528 54.2481 96.1475 0.513928 1592.93
2.7 -73.3153 36.157 53.6478 95.9267 0.510056 1566.33
2.71 -72.8181 35.8137 52.9475 95.7832 0.506596 1542.19
2.72 -72.328 35.4964 52.3654 95.4538 0.503274 1519.63
2.73 -71.8419 35.1519 51.6713 95.3058 0.499423 1495.84
2.74 -71.3258 34.8274 51.1537 95.0397 0.495884 1473.35
2.75 -70.867 34.514 50.4595 94.6823 0.492368 1451.59
2.76 -70.3838 34.195 49.8599 94.2855 0.488704 1429.53
2.77 -69.8916 33.8621 49.2536 93.936 0.485072 1406.84
2.78 -69.377 33.5035 48.6269 93.5689 0.480562 1382.61
2.79 -68.9642 33.2471 48.0014 93.0705 0.477766 1365.03
2.8 -68.5221 32.9466 47.4251 92.4668 0.474179 1344.38

