T Eprom Mprom Cv Xs Ub M2prom
1.74919 -752.079 385.656 152.559 34.8903 0.666133 148792
1.75263 -751.68 385.503 156.976 35.1944 0.666126 148675
1.75607 -751.383 385.42 157.803 35.2532 0.666123 148610
1.75951 -750.922 385.232 157.106 36.5219 0.666103 148468
1.76295 -749.991 384.909 158.777 38.2576 0.666077 148222
1.76639 -749.585 384.845 160.064 37.3961 0.666088 148172
1.76983 -749.107 384.6 162.684 38.3518 0.66607 147985
1.77327 -748.261 384.301 164.249 41.3766 0.666025 147760
1.77671 -747.729 384.131 168.125 41.3643 0.666022 147630
1.78015 -747.24 384.01 164.347 39.2163 0.66605 147533
1.78359 -747.462 384.028 162.639 41.1475 0.666024 147551
1.78703 -746.11 383.542 168.287 42.9769 0.665991 147181
1.79047 -746.161 383.636 168.874 41.8573 0.666009 147252
1.79391 -745.156 383.279 169.543 42.4789 0.665994 146979
1.79735 -744.684 383.102 176.602 44.2297 0.665965 146847
1.80079 -743.769 382.739 178.181 47.6929 0.665914 146575
1.80423 -742.998 382.517 176.476 45.9352 0.665934 146402
1.80767 -743.378 382.656 172.597 45.3196 0.665946 146508
1.81111 -742.282 382.199 183.841 49.3845 0.665879 146165
1.81455 -741.683 382.031 183.022 49.0992 0.66588 146037
1.81799 -741.096 381.755 181.907 49.792 0.665866 145827
1.82143 -739.901 381.37 187.416 51.3732 0.665837 145537
1.82487 -739.67 381.408 182.414 47.9591 0.665888 145560
1.82831 -738.116 380.747 188.289 53.4966 0.665798 145066
1.83175 -738.101 380.719 186.226 52.3607 0.665813 145043
1.83519 -737.497 380.527 190.007 53.7853 0.665788 144900
1.83863 -736.594 380.168 195.896 56.5544 0.665739 144631
1.84207 -736.536 380.228 190.839 53.1919 0.665791 144671
1.84551 -735.27 379.681 199.586 61.4802 0.665677 144271
1.84895 -734.976 379.682 197.239 56.1887 0.665738 144262
1.85239 -734.434 379.405 191.854 55.7833 0.665739 144051
1.85583 -733.686 379.119 202.815 60.9197 0.665658 143844
1.85927 -733.042 378.898 197.665 59.8792 0.665671 143675
1.86271 -732.433 378.554 200.909 63.765 0.665604 143422
1.86615 -731.852 378.385 202.347 63.2344 0.66561 143294
1.86959 -730.733 378.013 202.674 65.1573 0.66558 143015
1.87303 -729.96 377.68 205.635 66.7193 0.66555 142767
1.87647 -729.661 377.608 203.603 65.3001 0.665566 142710
1.87991 -728.078 377.064 214.698 70.415 0.665484 142309
1.88335 -728.108 377.031 210.881 69.4113 0.665492 142283
1.88679 -727.352 376.626 219.261 76.275 0.665379 141991
1.89023 -726.02 376.286 219.445 74.5504 0.665417 141732
1.89367 -725.692 376.079 222.501 75.9525 0.665378 141579
1.89711 -724.79 375.812 220.474 73.6611 0.665403 141374
1.90055 -723.88 375.334 222.622 78.3511 0.665321 141025
1.90399 -723.902 375.401 222.547 79.0334 0.665313 141076
1.90743 -722.881 375.007 227.221 80.6943 0.665276 140784
1.91087 -721.634 374.431 229.622 85.8173 0.665198 140363
1.91431 -721.331 374.354 232.056 83.6942 0.665216 140301
1.91775 -720.316 373.95 230.511 83.8889 0.665201 140000
1.92119 -718.99 373.533 228.677 85.2683 0.665191 139691
1.92463 -718.882 373.393 234.905 89.5123 0.665106 139594
1.92807 -718.318 373.14 240.773 90.4311 0.665082 139408
1.93151 -717.452 372.817 241.099 93.2479 0.665037 139172
1.93495 -716.79 372.532 240.749 95.0457 0.665011 138964
1.93839 -715.419 371.923 249.886 103.909 0.664881 138528
1.94183 -714.39 371.571 242.543 98.8011 0.664924 138257
1.94527 -714.002 371.476 247.302 98.4407 0.664918 138186
1.94871 -713.164 371.047 249.963 109.739 0.664761 137890
1.95215 -712.537 370.784 252.627 110.052 0.664771 137696
1.95559 -711.448 370.241 254.438 110.117 0.664718 137294
1.95903 -710.482 369.882 260.342 113.004 0.664647 137034
1.96247 -709.312 369.389 253.966 116.445 0.664636 136677
1.96591 -707.585 368.574 263.272 123.338 0.664462 136089
1.96935 -707.289 368.659 267.284 116.63 0.664551 136139
1.97279 -706.495 368.196 264.817 122.075 0.664454 135809
1.97623 -705.723 367.897 266.697 121.04 0.664459 135587
1.97967 -705.135 367.563 271.123 133.56 0.664288 135367
1.98311 -703.799 367.099 272.102 129.267 0.664316 135018
1.98655 -703.266 366.919 278.17 129.92 0.664289 134887
1.98999 -701.61 366.214 282.742 138.847 0.664144 134389
1.99343 -700.776 365.679 273.414 137.252 0.664141 133995
1.99687 -700.08 365.252 283.704 151.331 0.663941 133711
2.00031 -698.492 364.829 291.351 147.413 0.663947 133395
2.00375 -698.34 364.577 288.655 157.738 0.663816 133232
2.00719 -696.868 363.983 292.981 155.024 0.663801 132795
2.01063 -697.279 364.189 286.072 150.574 0.663877 132937
2.01407 -694.912 363.062 300.865 171.113 0.663532 132159
2.01751 -693.946 362.606 301.029 173.24 0.663507 131833
2.02095 -693.329 362.336 300.011 171.151 0.663482 131633
2.02439 -691.708 361.601 310.799 181.917 0.663279 131123
2.02783 -690.725 361.098 302.195 190.554 0.663272 130778
2.03127 -690.161 360.866 304.856 195.592 0.663211 130621
2.03471 -688.678 360.14 304.663 192.039 0.663126 130092
