T Eprom Mprom Cv Xs Ub M2prom
1.22919 -199.745 99.9324 1.5983 0.154436 0.666642 9986.67
1.23607 -199.726 99.9272 1.8716 0.181463 0.666638 9985.67
1.24295 -199.737 99.9322 1.6196 0.13951 0.666644 9986.62
1.24983 -199.648 99.9082 2.254 0.202887 0.666634 9981.9
1.25671 -199.668 99.912 2.0974 0.206457 0.666633 9982.67
1.26359 -199.616 99.8976 2.44816 0.242417 0.666627 9979.84
1.27047 -199.592 99.8928 2.64944 0.248498 0.666626 9978.89
1.27735 -199.578 99.888 2.66112 0.258236 0.666624 9977.94
1.28423 -199.518 99.8712 3.00994 0.298554 0.666617 9974.64
1.29111 -199.456 99.8564 3.3393 0.321104 0.666613 9971.72
1.29799 -199.462 99.8574 3.40636 0.327943 0.666612 9971.93
1.30487 -199.427 99.848 3.41266 0.340952 0.666609 9970.07
1.31175 -199.362 99.8302 3.85084 0.383282 0.666602 9966.57
1.31863 -199.38 99.8342 3.77927 0.39322 0.6666 9967.39
1.32551 -199.33 99.8192 4.12327 0.444896 0.666591 9964.46
1.33239 -199.279 99.8092 4.14582 0.415192 0.666595 9962.43
1.33927 -199.154 99.7758 5.09277 0.51949 0.666577 9955.91
1.34615 -199.176 99.7784 4.76356 0.514427 0.666578 9956.42
1.35303 -199.154 99.7742 5.1388 0.543829 0.666572 9955.63
1.35991 -199.037 99.7446 5.41912 0.556488 0.666569 9949.74
1.36679 -199.02 99.7356 5.69027 0.645963 0.666554 9948.07
1.37367 -198.913 99.7074 6.19053 0.690405 0.666545 9942.51
1.38055 -198.91 99.7028 6.45983 0.761201 0.666533 9941.7
1.38743 -198.866 99.6962 6.19676 0.687392 0.666544 9940.29
1.39431 -198.705 99.65 7.2816 0.820409 0.66652 9931.27
1.40119 -198.668 99.6394 7.5215 0.870097 0.666511 9929.23
1.40807 -198.61 99.6238 7.73062 0.886091 0.666507 9926.15
1.41495 -198.576 99.6142 7.78263 0.891878 0.666504 9924.25
1.42183 -198.492 99.5936 8.33758 0.969767 0.66649 9920.26
1.42871 -198.321 99.5454 9.06096 1.05952 0.666472 9910.8
1.43559 -198.288 99.5316 9.39095 1.14448 0.666456 9908.18
1.44247 -198.167 99.4986 9.73255 1.1992 0.666445 9901.7
1.44935 -198.092 99.4788 10.3915 1.26095 0.666432 9897.86
1.45623 -197.882 99.419 11.3336 1.44348 0.6664 9886.24
1.46311 -197.878 99.407 11.191 1.52604 0.666383 9883.98
1.46999 -197.767 99.3866 11.6443 1.46895 0.666389 9879.86
1.47687 -197.556 99.3314 12.5693 1.60595 0.666363 9869.1
1.48375 -197.525 99.3194 12.6843 1.66092 0.666351 9866.81
1.49063 -197.348 99.2688 13.9137 1.83423 0.666318 9857.03
1.49751 -197.244 99.2388 13.8578 1.81033 0.666318 9851.05
1.50439 -197.103 99.202 14.355 1.87292 0.666304 9843.85
1.51127 -196.921 99.1394 15.5162 2.17074 0.666248 9831.9
1.51815 -196.728 99.088 16.3391 2.27294 0.666224 9821.88
1.52503 -196.712 99.0836 16.0281 2.22436 0.666231 9820.95
1.53191 -196.547 99.0338 17.0546 2.43857 0.666189 9811.43
1.53879 -196.45 99.0112 17.6654 2.51359 0.666174 9807.09
1.54567 -196.244 98.9444 17.9576 2.67335 0.66614 9794.13
1.55255 -196.064 98.8932 18.8453 2.78291 0.666114 9784.19
1.55943 -195.748 98.8064 19.9538 2.90679 0.666082 9767.24
1.56631 -195.63 98.7684 20.7619 3.05276 0.666051 9759.98
1.57319 -195.401 98.7008 21.8984 3.30189 0.665999 9747.04
1.58007 -195.338 98.6684 21.1421 3.45279 0.665974 9740.91
1.58695 -194.903 98.5512 23.9874 3.7739 0.665901 9718.33
1.59383 -195.124 98.6186 22.0057 3.41577 0.665968 9731.07
1.60071 -194.708 98.4934 23.2851 3.76294 0.665895 9706.97
1.60759 -194.424 98.414 24.503 3.86456 0.665863 9691.53
1.61447 -194.582 98.4494 24.1526 3.92355 0.665851 9698.62
1.62135 -194.168 98.3358 25.4456 4.1583 0.6658 9676.67
