T Eprom Mprom Cv Xs Ub M2prom
2.2 -624.509 321.576 485.838 925.781 0.648522 105448
2.21 -619.714 318.018 496.686 1013.33 0.646562 103375
2.22 -614.65 314.066 510.006 1118.94 0.644173 101121
2.23 -609.66 310.108 519.783 1220.03 0.641728 98887.4
2.24 -604.541 305.88 529.33 1328.76 0.638974 96538.9
2.25 -599.378 301.645 536.769 1432.78 0.636175 94213.2
2.26 -594.197 297.097 546.166 1554.43 0.63278 91779.8
2.27 -588.738 292.291 554.007 1674.25 0.629192 89234.6
2.28 -583.311 287.345 560.573 1791.58 0.625296 86652.1
2.29 -577.856 282.339 564.188 1909.42 0.621235 84087.8
2.3 -572.358 277.094 569.261 2029.84 0.616695 81449.4
2.31 -566.723 271.662 570.835 2142.29 0.611792 78749
2.32 -561.265 266.24 571.175 2257.1 0.606648 76120
2.33 -555.916 260.906 571.128 2352.14 0.601378 73552.4
2.34 -550.346 255.172 570.817 2460.48 0.595356 70870.3
2.35 -544.727 249.336 566.808 2552 0.589088 68165.6
2.36 -539.374 243.609 563.511 2642.23 0.582428 65580.8
2.37 -533.868 237.756 558.434 2718.96 0.575532 62971.8
2.38 -528.619 232.167 552.261 2778.94 0.568577 60515.4
2.39 -523.194 226.12 546.835 2845.15 0.560399 57930.3
2.4 -518.111 220.614 539.069 2885.06 0.552838 55594.6
2.41 -512.802 214.627 531.771 2929.49 0.544107 53124.9
2.42 -507.614 208.674 523.646 2962.43 0.534671 50713.8
2.43 -502.497 202.964 513.938 2979.17 0.525426 48433.7
2.44 -497.554 197.369 504.434 2986.5 0.515966 46241.5
2.45 -492.784 191.918 495.258 2984.88 0.506123 44145.6
2.46 -487.94 186.346 483.361 2977.09 0.49543 42048.5
2.47 -483.23 181.07 475.655 2962.99 0.484687 40105.1
2.48 -478.668 175.689 463.597 2937.71 0.473398 38152
2.49 -474.158 170.55 453.939 2902.88 0.461729 36315.3
2.5 -469.546 165.342 443.938 2860.72 0.449686 34489.9
2.51 -465.126 160.348 431.713 2812.53 0.437556 32771
2.52 -460.807 155.632 422.001 2752.85 0.425697 31158.6
2.53 -456.78 151.12 410.703 2702.14 0.41342 29673.6
2.54 -452.659 146.675 401.015 2633.99 0.400874 28203.8
2.55 -448.639 142.252 389.765 2563.88 0.388159 26773.5
2.56 -444.781 138.232 380.848 2496.27 0.375799 25498.7
2.57 -440.995 134.246 371.166 2429.19 0.363519 24264.9
2.58 -437.293 130.456 360.112 2348.48 0.351825 23077.9
2.59 -433.733 126.724 349.662 2275.47 0.339011 21952.5
2.6 -430.307 123.36 343.326 2207.59 0.326939 20957.4
2.61 -426.755 120.062 332.786 2134.73 0.316241 19986.7
2.62 -423.389 116.758 325.163 2063.23 0.30364 19038.1
2.63 -420.05 113.55 317.898 1989.76 0.291317 18126.7
2.64 -416.907 110.721 309.662 1925.43 0.280838 17342.4
2.65 -413.729 108.003 302.829 1853.56 0.270731 16576.5
2.66 -410.746 105.29 295.76 1791.12 0.260029 15850.4
2.67 -407.713 102.756 289.217 1726.42 0.249345 15168.4
2.68 -404.804 100.386 282.645 1669.3 0.239619 14551.1
2.69 -401.977 98.1355 276.88 1611.38 0.23056 13965.2
2.7 -399.06 95.9737 270.652 1554.02 0.223007 13406.8
2.71 -396.362 93.8106 264.569 1500.51 0.212926 12866.8
2.72 -393.618 91.8145 259.778 1444.05 0.206215 12357.7
2.73 -391.052 89.9555 254.301 1395.62 0.198228 11902
2.74 -388.394 88.0312 249.787 1347.24 0.189568 11440.9
2.75 -385.831 86.383 245.261 1301.53 0.184346 11041.2
2.76 -383.474 84.6734 240.206 1262.41 0.175242 10653.8
2.77 -380.969 83.1228 236.173 1217.98 0.1705 10283.2
2.78 -378.625 81.5918 231.969 1179.36 0.162861 9935.83
2.79 -376.276 80.1028 228.406 1142.3 0.155488 9603.47
2.8 -373.897 78.6902 224.306 1104.56 0.150881 9284.92

