T Eprom Mprom Cv Xs Ub M2prom
2.2 -401.396 207.723 295.469 463.192 0.645558 44167.9
2.21 -398.468 205.718 301.383 500.278 0.643658 43425.6
2.22 -395.523 203.631 306.658 535.97 0.641609 42655.5
2.23 -392.436 201.37 312.875 576.755 0.639253 41835.9
2.24 -389.312 199.048 317.74 619.128 0.636769 41006.8
2.25 -386.271 196.774 321.661 657.239 0.634278 40198.8
2.26 -383.139 194.361 326.036 700.385 0.631516 39359.2
2.27 -379.947 191.851 330.786 743.04 0.628472 38493.5
2.28 -376.827 189.304 333.073 788.491 0.625275 37633.9
2.29 -373.598 186.704 335.563 827.436 0.622068 36753.2
2.3 -370.282 183.929 337.85 871.577 0.618322 35834.4
2.31 -367.158 181.337 339.349 907.136 0.61485 34978.5
2.32 -363.903 178.594 340.897 947.133 0.610901 34093.1
2.33 -360.476 175.565 340.767 991.038 0.606392 33132
2.34 -357.183 172.684 341.298 1025.91 0.601997 32220.5
2.35 -353.958 169.731 341.025 1063.56 0.597223 31308
2.36 -350.696 166.812 339.472 1096.85 0.592418 30414.8
2.37 -347.381 163.768 338.154 1128.13 0.587186 29493.8
2.38 -344.146 160.772 335.569 1156.57 0.58195 28600.3
2.39 -340.942 157.76 334.05 1184.09 0.576287 27718.3
2.4 -337.82 154.848 330.146 1203.9 0.570811 26867.3
2.41 -334.684 151.856 327.681 1224.5 0.564846 26011.3
2.42 -331.557 148.815 323.989 1246.08 0.558488 25161.3
2.43 -328.438 145.847 319.765 1257.92 0.552289 24328
2.44 -325.38 142.852 316.221 1272.2 0.545431 23510.8
2.45 -322.249 139.8 311.961 1283.84 0.538369 22689.5
2.46 -319.244 136.842 306.58 1287.33 0.53145 21892.5
2.47 -316.337 133.955 301.678 1292.32 0.524165 21136.1
2.48 -313.451 131.084 296.981 1297.14 0.516429 20400
2.49 -310.598 128.215 292.217 1295.18 0.508662 19664
2.5 -307.808 125.436 286.538 1291.7 0.50088 18963.6
2.51 -304.98 122.628 281.175 1286.22 0.492624 18266
2.52 -302.319 120.027 276.565 1277.4 0.484777 17625.5
2.53 -299.591 117.283 270.854 1266.07 0.476226 16958.5
2.54 -296.954 114.682 265.637 1255.32 0.467517 16340.4
2.55 -294.389 112.006 260.238 1243.83 0.458185 15717
2.56 -291.774 109.511 255.136 1227.08 0.449454 15134
2.57 -289.121 106.9 249.443 1210.26 0.43974 14538
2.58 -286.798 104.548 244.332 1192.26 0.430668 14006.3
2.59 -284.389 102.294 239.201 1170.89 0.422074 13496.7
2.6 -282.003 99.9093 234.252 1153.82 0.411939 12981.8
2.61 -279.713 97.6943 228.234 1131.24 0.402748 12496.7
2.62 -277.421 95.507 223.693 1108.2 0.393345 12025.1
2.63 -275.221 93.4296 218.927 1087.89 0.383598 11590.2
2.64 -272.976 91.342 213.891 1061.31 0.374628 11145.2
2.65 -270.814 89.2742 208.892 1038.07 0.363948 10720.8
2.66 -268.731 87.4022 204.677 1015.23 0.355351 10339.7
2.67 -266.726 85.5126 200.023 990.759 0.345327 9957.73
2.68 -264.757 83.8496 195.809 967.09 0.337502 9622.56
2.69 -262.752 81.959 191.178 941.364 0.327383 9249.54
2.7 -260.798 80.3681 187.63 918.685 0.319046 8939.47
2.71 -258.865 78.6382 183.644 894.629 0.308857 8608.41
2.72 -257.093 77.2187 179.35 871.938 0.302126 8334.39
2.73 -255.259 75.6472 175.854 848.923 0.292506 8040.06
2.74 -253.459 74.1988 171.976 824.965 0.284944 7765.86
2.75 -251.682 72.715 168.679 804.37 0.27522 7499.48
2.76 -249.835 71.2655 164.775 780.823 0.267965 7233.84
2.77 -248.275 70.0607 162.359 762.473 0.259646 7020.56
2.78 -246.582 68.7049 159.255 739.751 0.251691 6776.87
2.79 -245.052 67.6061 155.471 719.771 0.245682 6578.74
2.8 -243.372 66.3486 152.838 700.711 0.237197 6364.12


